ts_ms,ped_x,ped_y,veh_x,veh_y,ped_speed_mps,veh_speed_mps,distance_m,rel_speed_mps
22000,3600.0,1400.0,3494.37,1560.83,1.2,6.15,192.41617863371053,4.95
22000,3600.0,1400.0,3700.15,1355.19,1.2,2.68,109.71763121759425,1.4800000000000002
22000,3600.0,1400.0,3586.28,1414.0,1.2,9.19,19.601999897969453,7.989999999999999
22000,3600.0,1400.0,3687.26,1350.56,1.2,4.39,100.29267769882327,3.1899999999999995
22000,3600.0,1400.0,3700.96,1319.49,1.2,6.17,129.13087043770753,4.97
22000,3600.0,1400.0,3757.84,1395.71,1.2,3.79,157.8982890977608,2.59
22000,3600.0,1400.0,3819.37,1135.63,1.2,9.86,343.5326677333611,8.66
22000,3600.0,1400.0,3643.0,1409.11,1.2,0.0,43.954432085968286,-1.2
22000,3600.0,1400.0,3837.07,1389.23,1.2,2.03,237.31451240916573,0.8299999999999998
22000,3600.0,1400.0,3630.27,1181.2,1.2,0.0,220.88393535972682,-1.2
22000,3600.0,1400.0,3646.86,1330.33,1.2,4.14,83.96289954497773,2.9399999999999995
22000,3600.0,1400.0,3471.39,1380.96,1.2,7.77,130.01174446949028,6.569999999999999
22000,3600.0,1400.0,3542.59,1596.14,1.2,6.43,204.36929245852966,5.2299999999999995
22000,3600.0,1400.0,3585.13,1473.36,1.2,1.84,74.85189710354696,0.6400000000000001
22000,3600.0,1400.0,3639.95,1414.74,1.2,6.09,42.582509320142066,4.89
22000,3600.0,1400.0,3521.68,1517.95,1.2,6.77,141.58469161600783,5.569999999999999
22000,3600.0,1400.0,3503.86,1545.92,1.2,7.38,174.74423023379055,6.18
23000,3600.0,1400.0,3674.45,1419.37,1.2,7.52,76.92853436794417,6.319999999999999
23000,3600.0,1400.0,3608.87,1456.36,1.2,9.95,57.05371591754552,8.75
23000,3600.0,1400.0,3672.96,1335.26,1.2,6.99,97.54193559695238,5.79
23000,3600.0,1400.0,3928.11,1310.98,1.2,8.63,339.97166426042054,7.430000000000001
23000,3600.0,1400.0,3737.42,1399.9,1.2,8.14,137.42003638480097,6.94
